id;LOCphy_C;MVG_C;Volume_C;MI_C;qwen2_5_coder_32b_SLOC_R;qwen2_5_coder_32b_Cyclomatic_R;qwen2_5_coder_32b_Volume_R;qwen2_5_coder_32b_MI_R;qwen2_5_coder_32b_total_unsafe_block_R;qwen2_5_coder_32b_avg_unsafe_stmt_R;qwen2_5_coder_32b_total_uniq_type_R
transcoder-set:CHECK_POSSIBLE_TRANSFORM_ONE_STRING_ANOTHER_prep:len;1.0;1.0;121.114;145.827;3.0;1.0;48.432042660922164;132.79564043134945;0;0.0;1
bzip2:bzlib_prep:BZ2_bzRead;43.0;39.0;4259.03;57.6432;25.0;13.0;830.9438487450846;80.90688808341854;1;20.0;5
libxml2:xmlschemastypes_prep:xmlSchemaValidateLengthFacet;13.0;2.0;310.0;99.1576;8.0;2.0;243.00301253822127;108.28906305397692;1;3.0;5
tar-1.34:incremen_prep:clear_directory_table;16.0;4.0;325.532;95.0797;18.0;4.0;311.1383647149065;93.40674139961179;1;11.0;0
less-633:option_prep:opt_prompt;6.0;3.0;247.254;112.629;8.0;3.0;187.29612798276648;109.4130541553674;1;3.0;1
units-2.22:units_prep:copyproduct;11.0;3.0;245.97;102.837;16.0;3.0;385.4360568875695;94.4313110947076;1;8.0;4
json.h:allow_no_commas_prep:json_value_is_true;3.0;1.0;77.6618;130.34;3.0;2.0;96.0;129.00787032794386;1;4.0;1
transcoder-set:CHECK_GIVEN_CIRCLE_LIES_COMPLETELY_INSIDE_RING_FORMED_TWO_CONCENTRIC_CIRCLES_prep:len;1.0;1.0;121.114;145.827;3.0;1.0;81.40967379910403;130.09511155839854;0;0.0;1
patch-2.7.6:hash_prep:hash_get_n_entries;5.0;1.0;57.1103;123.663;3.0;1.0;51.89147427955946;132.43687749961728;1;1.0;1
less-633:brac_prep:match_brac;47.0;18.0;1892.13;65.2512;43.0;12.0;1016.4897598570077;71.30318321847341;1;22.0;4
tar-1.34:regex_prep:rpl_re_search_2;8.0;1.0;304.313;107.349;3.0;1.0;146.94555522617034;127.0241577666502;0;0.0;8
transcoder-set:UNBOUNDED_KNAPSACK_REPETITION_ITEMS_ALLOWED_prep:f_filled;1.0;1.0;77.7092;148.135;3.0;1.0;79.9544533632097;130.18890379774788;0;0.0;4
libosip2-5.3.1:sdp_accessor_prep:sdp_message_o_sess_version_get;5.0;2.0;147.149;118.512;6.0;2.0;118.53642239625984;116.68235116672233;1;1.0;1
findutils-4.9.0:tempname_prep:try_tempname;6.0;1.0;179.307;114.76;3.0;1.0;199.6525931318485;125.43027105014485;0;0.0;3
transcoder-set:INTEGER_POSITIVE_VALUE_POSITIVE_NEGATIVE_VALUE_ARRAY_1_prep:len;1.0;1.0;121.114;145.827;3.0;1.0;99.91187238980949;129.03018061263927;1;1.0;1
less-633:os_prep:supports_ctrl_x;4.0;1.0;39.8631;129.148;3.0;1.0;27.0;135.83412922035413;0;0.0;0
tar-1.34:paxerror_prep:readlink_warn;5.0;1.0;64.725;123.012;3.0;1.0;39.86313713864835;133.808130442365;0;0.0;1
nano-7.2:chars_prep:mbstrpbrk;9.0;3.0;294.032;105.16;9.0;3.0;258.52418449776;105.82901776471057;0;0.0;2
