id;LOCphy_C;MVG_C;Volume_C;MI_C;qwen2_5_coder_32b_SLOC_R;qwen2_5_coder_32b_Cyclomatic_R;qwen2_5_coder_32b_Volume_R;qwen2_5_coder_32b_MI_R;qwen2_5_coder_32b_total_unsafe_block_R;qwen2_5_coder_32b_avg_unsafe_stmt_R;qwen2_5_coder_32b_total_uniq_type_R
transcoder-set:PROGRAM_TO_FIND_REMAINDER_WITHOUT_USING_MODULO_OR_OPERATOR_prep:f_gold;3.0;1.0;91.3765;129.495;3.0;1.0;74.00879436282185;130.59072449338103;0;0.0;2
indent-2.2.13:handletoken_prep:check_code_size;11.0;2.0;275.098;102.485;11.0;2.0;336.51484454403226;101.43715681485676;1;6.0;0
gprolog-1.5.0:c_supp_prep:Pl_Check_For_Un_Integer;5.0;6.0;533.616;110.893;18.0;6.0;346.7937417270812;92.38258048741788;0;0.0;1
tulipindicators-0.9.1:candles_prep:tc_config_set_to_default;3.0;1.0;87.5692;129.716;5.0;1.0;123.18989788986397;119.66572515809844;1;1.0;1
tar-1.34:opendirat_prep:opendirat;19.0;3.0;588.668;89.4452;18.0;3.0;510.90509710918684;91.0578214864159;1;12.0;4
make-4.4.1:posixos_prep:jobserver_get_auth;13.0;2.0;509.049;96.5786;13.0;2.0;675.49793084855;95.10747991899709;0;0.0;0
tar-1.34:savedir_prep:savedir;19.0;3.0;495.0;90.3464;16.0;3.0;349.77463164918515;94.93615970465889;0;0.0;1
bc-1.07.1:stack_prep:dc_binop2;33.0;6.0;1219.19;76.0257;25.0;5.0;842.4138179328617;82.67560054569005;1;12.0;1
transcoder-set:FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH_1_prep:min;1.0;2.0;83.7618;147.515;3.0;2.0;75.28421251514428;130.27187457489046;0;0.0;2
json.h:allow_unquoted_keys_prep:json_extract_get_array_size;17.0;2.0;587.768;91.485;16.0;2.0;515.2235125388945;93.15213848022374;0;0.0;3
transcoder-set:MAXIMUM_SUBSEQUENCE_SUM_SUCH_THAT_NO_THREE_ARE_CONSECUTIVE_prep:main;25.0;3.0;5083.14;73.7891;16.0;4.0;1502.1945943530088;87.12771431977107;1;1.0;3
tar-1.34:buffer_prep:xclose;6.0;2.0;100.0;117.567;5.0;2.0;88.0;121.18495438328091;0;0.0;1
transcoder-set:SWAP_ALL_ODD_AND_EVEN_BITS_prep:f_gold;7.0;1.0;177.199;112.324;7.0;1.0;184.47733175670794;112.11511730261384;0;0.0;1
patch-2.7.6:util_prep:Fseek;6.0;2.0;144.946;115.636;5.0;2.0;153.80110650593844;118.28167251080606;0;0.0;3
bc-1.07.1:load_prep:long_val;16.0;4.0;532.502;92.5206;17.0;4.0;530.0990052113956;91.56201211107978;0;0.0;3
tulipindicators-0.9.1:benchmark_prep:stochrsi_output_adjust;3.0;1.0;44.9726;133.181;3.0;1.0;39.86313713864835;133.808130442365;0;0.0;1
tulipindicators-0.9.1:exp_prep:ti_exp_start;1.0;1.0;68.5324;148.788;4.0;1.0;57.3594000115385;127.25548032168658;0;0.0;1
libosip2-5.3.1:osip_record_route_prep:osip_message_get_record_route;9.0;2.0;354.633;104.415;12.0;2.0;363.1099040750304;99.63204339010002;1;5.0;4
heman:quaternion_prep:kmQuaternionGetForwardVec3LH;3.0;1.0;106.274;128.709;3.0;1.0;83.76180828526729;129.94699971644644;0;0.0;2
libxml2:libxml2-py_prep:libxml_xmlXPathNewString;11.0;2.0;397.458;100.572;11.0;2.0;328.76166990577076;101.55836456116069;0;0.0;3
transcoder-set:MODULUS_TWO_FLOAT_DOUBLE_NUMBERS_prep:len;1.0;1.0;121.114;145.827;5.0;1.0;71.69925001442311;122.4802083235625;1;1.0;1
gprolog-1.5.0:arith_inl_c_prep:Pl_Fct_Sin;5.0;1.0;71.6993;122.48;3.0;1.0;57.3594000115385;131.9159298954054;0;0.0;0
bc-1.07.1:storage_prep:process_params;67.0;11.0;2136.97;60.4848;29.0;4.0;857.1307641260556;80.41113700343323;0;0.0;2
screen-4.9.0:display_prep:ChangeScrollRegion;26.0;9.0;822.018;81.2477;34.0;9.0;835.0;76.82031453199374;2;10.5;2
libxml2:libxml2-py_prep:libxml_xmlUCSIsMiscellaneousTechnical;13.0;3.0;518.058;96.2574;14.0;3.0;429.1037751197119;96.03643755368432;0;0.0;3
gprolog-1.5.0:c_supp_prep:Pl_Check_For_Un_Byte;5.0;7.0;749.639;108.895;25.0;8.0;462.95911855378085;85.09849011983083;0;0.0;1
transcoder-set:CALCULATE_MAXIMUM_VALUE_USING_SIGN_TWO_NUMBERS_STRING_prep:min;1.0;2.0;83.7618;147.515;3.0;2.0;71.69925001442311;130.5255834285715;0;0.0;2
json.h:allow_multi_line_strings_prep:json_write_get_string_size;22.0;9.0;487.537;86.6704;16.0;4.0;446.24762247421205;93.43951787220352;0;0.0;3
libxml2:HTMLparser_prep:htmlAttrAllowed;19.0;13.0;811.678;85.4747;34.0;13.0;1000.2101883042684;74.9615391861785;0;0.0;3
tulipindicators-0.9.1:macd_prep:ti_macd_start;4.0;1.0;123.19;123.281;6.0;1.0;106.27403387250882;117.4801874849403;1;2.0;1
transcoder-set:COUNT_NUMBER_OF_OCCURRENCES_OR_FREQUENCY_IN_A_SORTED_ARRAY_prep:len;1.0;1.0;121.114;145.827;5.0;1.0;83.76180828526729;121.67162461143741;1;1.0;1
tar-1.34:misc_prep:namebuf_free;6.0;1.0;71.6993;119.527;6.0;1.0;89.62406251802891;118.36625263666653;1;2.0;1
libosip2-5.3.1:osip_port_prep:osip_str_append;9.0;2.0;183.477;107.842;11.0;2.0;229.0621890290302;103.43733020127297;1;6.0;2
optipng-0.7.8:pngerror_prep:png_format_number;49.0;16.0;1341.24;66.8255;28.0;8.0;679.4319952701238;81.26774976536164;1;13.0;5
optipng-0.7.8:gzread_prep:gzclose_r;20.0;6.0;814.24;86.2374;23.0;6.0;873.7173252437508;83.60665783834162;0;0.0;1
